0.104609,-74,369,326,-62,77,7874,996,-121,-202
0.106501,-74,369,326,-62,77,7874,996,-121,-202
0.109268,-49,372,323,-66,90,7871,996,-121,-202
0.110890,-48,363,313,-68,91,7887,997,-105,-2209
0.112494,-55,385,296,-72,89,7885,997,-105,-2209
0.114104,-54,401,288,-68,76,7872,997,-105,-2209
0.115787,-63,400,305,-61,68,7877,997,-105,-2186
0.119069,-48,396,312,-69,81,7873,1007,-94,-2186
0.120711,-67,408,316,-74,79,7869,1007,-94,-2186
0.121992,-54,397,305,-68,88,7861,1007,-94,-2186
0.125319,-60,374,294,-86,87,7854,995,-100,-2223
0.126931,-65,383,297,-71,74,7879,995,-100,-2223
0.128594,-60,404,305,-64,83,7881,995,-100,-2223
0.130218,-70,392,304,-71,86,7893,985,-84,-2232
0.131787,-76,386,300,-67,72,7907,985,-84,-2232
0.135029,-73,392,301,-57,81,7877,985,-84,-2232
0.136765,-73,406,306,-51,76,7870,989,-103,-2185
0.138367,-73,406,306,-51,76,7870,989,-103,-2185
0.139914,-67,398,314,-74,87,7882,989,-103,-2185
0.143220,-74,376,315,-66,76,7899,1013,-103,-2226
0.144867,-87,395,312,-65,73,7918,1013,-103,-2226
0.146416,-80,404,305,-77,84,7894,1013,-103,-2226
0.149644,-75,394,292,-82,76,7912,1001,-82,-2195
0.151343,-91,390,305,-83,84,7910,1001,-82,-2195
0.152900,-90,387,313,-54,84,7914,1001,-82,-2195
0.156198,-66,388,326,-67,84,7906,1001,-82,-2195
0.157863,-61,386,317,-77,73,7895,995,-93,-2213
0.159555,-83,375,303,-53,94,7913,995,-93,-2213
0.161147,-95,372,314,-60,71,7900,995,-93,-2213
0.164490,-81,362,315,-74,77,7897,1012,-88,-2221
0.166169,-67,381,306,-62,77,7895,1012,-88,-2221
0.167757,-60,377,307,-59,84,7898,1012,-88,-2221
0.169490,-60,386,315,-60,80,7873,999,-111,-2229
0.171036,-80,368,303,-79,84,7888,999,-111,-2229
0.174252,-80,380,297,-61,83,7878,999,-111,-2229
0.175796,-80,380,314,-56,95,7871,1011,-104,-2240
0.177389,-78,388,314,-56,95,7871,1011,-104,-2240
0.178949,-73,393,326,-67,89,7862,1011,-104,-2240
0.181890,-84,381,328,-52,85,7889,969,-103,-2254
0.183042,-85,368,324,-65,74,7874,969,-103,-2254
0.184808,-75,389,305,-65,87,7876,969,-103,-2254
0.188392,-77,389,301,-65,81,7863,1007,-98,-2255
0.189967,-86,391,301,-76,73,7867,1007,-98,-2255
0.191706,-85,386,294,-69,70,7879,1007,-98,-2255
0.193465,-79,386,314,-65,88,7875,1007,-98,-2255
0.196960,-75,391,328,-65,102,7874,1025,-119,-2242
0.198046,-70,395,320,-65,82,7889,1025,-119,-2242
0.199758,-80,392,317,-73,65,7879,1025,-119,-2242
0.202978,-80,379,316,-62,79,7882,1006,-98,-2236
0.204646,-65,381,303,-69,90,7870,1006,-98,-2236
0.206289,-68,379,291,-58,82,7886,1006,-98,-2236
0.207879,-76,381,290,-77,70,7903,1004,-114,-2239
0.211084,-65,388,282,-62,73,7885,1004,-114,-2239
0.212875,-74,404,287,-62,82,7893,1004,-114,-2239
0.214567,-87,384,296,-66,92,7889,1016,-110,-2234
0.216158,-89,380,291,-77,93,7895,1016,-110,-2234
0.217836,-89,385,302,-51,84,7911,1016,-110,-2234
0.221117,-86,385,302,-74,84,7911,1002,-118,-2257
0.222785,-49,361,299,-74,87,7888,1002,-118,-2257
0.224405,-46,373,303,-66,98,7883,1002,-118,-2257
0.227805,-87,377,307,-67,90,7895,1006,-113,-2167
0.228908,-104,365,292,-65,90,7889,1006,-113,-2167
0.232222,-82,373,299,-71,79,7899,1006,-113,-2167
0.233866,-81,378,317,-58,78,7902,1034,-119,-2175
0.235412,-94,368,305,-54,88,7885,1034,-119,-2175
0.236955,-96,368,308,-69,93,7876,1034,-119,-2175
0.240056,-81,377,321,-51,83,7874,995,-98,-2171
0.241721,-87,382,317,-72,82,7878,995,-98,-2171
0.243429,-76,370,314,-52,93,7868,995,-98,-2171
0.244995,-67,385,313,-63,92,7890,995,-98,-2171
0.246728,-83,384,307,-76,81,7872,1019,-133,-2173
0.249887,-77,372,297,-66,78,7893,1019,-133,-2173
0.251514,-68,372,305,-74,84,7852,1019,-133,-2173
0.253057,-83,385,322,-62,85,7858,1014,-132,-2183
0.256400,-69,375,300,-73,79,7890,1014,-132,-2183
0.258001,-84,374,308,-58,71,7892,1014,-132,-2183
0.259706,-78,387,321,-89,82,7889,989,-148,-2169
0.261392,-96,373,323,-71,82,7879,989,-148,-2169
0.264606,-96,373,315,-75,88,7888,989,-148,-2169
0.266229,-87,385,315,-75,88,7888,995,-111,-2195
0.267864,-83,406,318,-81,76,7897,995,-111,-2195
0.271112,-100,394,323,-64,89,7896,995,-111,-2195
0.272826,-95,396,324,-81,89,7878,969,-118,-2197
